route_id,schd_trip_id,stop_id,stop_sequence,arrival_time,schd_sec,trip_id,event_time,avl_sec,diff,index
20,910043020,430,43,08:20:45,30045,910043020,2019-09-06 08:22:39,202959.0,172914.0,2067.0
20,910043020,431,44,08:21:32,30092,910043020,2019-09-03 08:29:12,30552.0,460.0,2068.0
20,910043020,431,44,08:21:32,30092,910043020,2019-09-04 08:23:34,30214.000000000004,122.00000000000364,2069.0
20,910043020,431,44,08:21:32,30092,910043020,2019-09-05 08:20:49,116449.0,86357.0,2070.0
20,910043020,431,44,08:21:32,30092,910043020,2019-09-06 08:23:03,202983.0,172891.0,2071.0
20,910043020,432,46,08:22:30,30150,910043020,2019-09-03 08:31:24,30684.0,534.0,2072.0
20,910043020,432,46,08:22:30,30150,910043020,2019-09-04 08:27:27,30447.000000000004,297.00000000000364,2073.0
20,910043020,432,46,08:22:30,30150,910043020,2019-09-05 08:23:25,116605.0,86455.0,2074.0
20,910043020,432,46,08:22:30,30150,910043020,2019-09-06 08:24:09,203049.0,172899.0,2075.0
20,910043020,435,49,08:25:52,30352,910043020,2019-09-03 08:34:40,30880.0,528.0,2076.0
20,910043020,435,49,08:25:52,30352,910043020,2019-09-04 08:30:12,30612.000000000004,260.00000000000364,2077.0
20,910043020,435,49,08:25:52,30352,910043020,2019-09-05 08:26:15,116775.0,86423.0,2078.0
20,910043020,435,49,08:25:52,30352,910043020,2019-09-06 08:27:43,203263.0,172911.0,2079.0
20,910043020,436,50,08:26:58,30418,910043020,2019-09-03 08:35:58,30958.0,540.0,2080.0
20,910043020,436,50,08:26:58,30418,910043020,2019-09-04 08:31:19,30679.000000000004,261.00000000000364,2081.0
20,910043020,436,50,08:26:58,30418,910043020,2019-09-05 08:27:58,116878.0,86460.00000000001,2082.0
20,910043020,436,50,08:26:58,30418,910043020,2019-09-06 08:29:21,203361.0,172943.0,2083.0
20,910043020,437,51,08:27:54,30474,910043020,2019-09-03 08:38:04,31084.0,610.0,2084.0
20,910043020,437,51,08:27:54,30474,910043020,2019-09-04 08:32:17,30737.000000000004,263.00000000000364,2085.0
20,910043020,437,51,08:27:54,30474,910043020,2019-09-05 08:29:10,116950.0,86476.00000000001,2086.0
20,910043020,437,51,08:27:54,30474,910043020,2019-09-06 08:31:21,203481.0,173007.0,2087.0
20,910043020,439,53,08:29:28,30568,910043020,2019-09-03 08:40:45,31245.0,677.0,2088.0
20,910043020,439,53,08:29:28,30568,910043020,2019-09-04 08:35:13,30913.000000000004,345.00000000000364,2089.0
20,910043020,439,53,08:29:28,30568,910043020,2019-09-05 08:31:27,117087.0,86519.00000000001,2090.0
