BOARDING_STOP,INFERRED_ALIGHTING_GTFS_STOP,bin_5,mean,std
386.0,395.0,95,0.0,0.0
386.0,395.0,96,0.0,0.0
386.0,395.0,97,0.0,0.0
386.0,395.0,98,0.0,0.0
386.0,395.0,99,0.0,0.0
386.0,395.0,100,0.0,0.0
386.0,395.0,101,0.0,0.0
386.0,395.0,102,0.0,0.0
386.0,395.0,103,0.0,0.0
386.0,395.0,104,0.0,0.0
386.0,395.0,105,0.0,0.0
386.0,395.0,106,0.0,0.0
386.0,395.0,107,0.0,0.0
386.0,395.0,108,0.0,0.0
386.0,395.0,109,0.25,0.5
386.0,395.0,110,0.0,0.0
386.0,395.0,111,0.0,0.0
386.0,395.0,112,0.0,0.0
386.0,395.0,113,0.0,0.0
386.0,395.0,114,0.25,0.5
386.0,395.0,115,0.0,0.0
386.0,395.0,116,0.0,0.0
386.0,395.0,117,0.0,0.0
386.0,395.0,118,0.0,0.0
386.0,395.0,119,0.0,0.0
386.0,396.0,84,0.0,0.0
386.0,396.0,85,0.0,0.0
386.0,396.0,86,0.0,0.0
386.0,396.0,87,0.0,0.0
386.0,396.0,88,0.0,0.0
386.0,396.0,89,0.0,0.0
386.0,396.0,90,0.0,0.0
386.0,396.0,91,0.0,0.0
386.0,396.0,92,0.0,0.0
386.0,396.0,93,0.0,0.0
386.0,396.0,94,0.0,0.0
386.0,396.0,95,0.0,0.0
386.0,396.0,96,0.0,0.0
386.0,396.0,97,0.25,0.5
386.0,396.0,98,0.0,0.0
386.0,396.0,99,0.25,0.5
386.0,396.0,100,0.0,0.0
386.0,396.0,101,0.0,0.0
386.0,396.0,102,0.0,0.0
386.0,396.0,103,0.25,0.5
386.0,396.0,104,0.0,0.0
386.0,396.0,105,0.0,0.0
386.0,396.0,106,0.0,0.0
386.0,396.0,107,0.0,0.0
386.0,396.0,108,0.0,0.0
386.0,396.0,109,0.0,0.0
386.0,396.0,110,0.0,0.0
386.0,396.0,111,0.0,0.0
386.0,396.0,112,0.0,0.0
386.0,396.0,113,0.0,0.0
386.0,396.0,114,0.0,0.0
386.0,396.0,115,0.0,0.0
386.0,396.0,116,0.0,0.0
386.0,396.0,117,0.0,0.0
386.0,396.0,118,0.0,0.0
386.0,396.0,119,0.0,0.0
386.0,397.0,84,0.0,0.0
386.0,397.0,85,0.0,0.0
386.0,397.0,86,0.0,0.0
386.0,397.0,87,0.0,0.0
386.0,397.0,88,0.0,0.0
386.0,397.0,89,0.25,0.5
386.0,397.0,90,0.0,0.0
386.0,397.0,91,0.0,0.0
386.0,397.0,92,0.0,0.0
386.0,397.0,93,0.0,0.0
386.0,397.0,94,0.0,0.0
386.0,397.0,95,0.0,0.0
386.0,397.0,96,0.0,0.0
386.0,397.0,97,0.0,0.0
386.0,397.0,98,0.0,0.0
386.0,397.0,99,0.0,0.0
386.0,397.0,100,0.0,0.0
386.0,397.0,101,0.0,0.0
386.0,397.0,102,0.0,0.0
386.0,397.0,103,0.0,0.0
386.0,397.0,104,0.0,0.0
386.0,397.0,105,0.0,0.0
386.0,397.0,106,0.0,0.0
386.0,397.0,107,0.25,0.5
386.0,397.0,108,0.75,0.9574271077563382
386.0,397.0,109,0.25,0.5
386.0,397.0,110,0.0,0.0
386.0,397.0,111,0.0,0.0
386.0,397.0,112,0.5,1.0
386.0,397.0,113,0.0,0.0
386.0,397.0,114,0.5,1.0
386.0,397.0,115,0.25,0.5
386.0,397.0,116,0.25,0.5
386.0,397.0,117,0.0,0.0
386.0,397.0,118,0.0,0.0
386.0,397.0,119,0.0,0.0
386.0,406.0,84,0.0,0.0
386.0,406.0,85,0.5,0.5773502691896257
386.0,406.0,86,0.0,0.0
386.0,406.0,87,0.25,0.5
386.0,406.0,88,0.0,0.0
386.0,406.0,89,0.0,0.0
386.0,406.0,90,0.0,0.0
386.0,406.0,91,0.0,0.0
386.0,406.0,92,0.0,0.0
386.0,406.0,93,0.0,0.0
386.0,406.0,94,0.0,0.0
386.0,406.0,95,0.0,0.0
386.0,406.0,96,0.0,0.0
386.0,406.0,97,0.0,0.0
386.0,406.0,98,0.0,0.0
386.0,406.0,99,0.0,0.0
386.0,406.0,100,0.0,0.0
386.0,406.0,101,0.0,0.0
386.0,406.0,102,0.0,0.0
386.0,406.0,103,0.0,0.0
386.0,406.0,104,0.0,0.0
386.0,406.0,105,0.0,0.0
386.0,406.0,106,0.0,0.0
386.0,406.0,107,0.0,0.0
386.0,406.0,108,0.0,0.0
386.0,406.0,109,0.0,0.0
386.0,406.0,110,0.0,0.0
386.0,406.0,111,0.0,0.0
386.0,406.0,112,0.0,0.0
386.0,406.0,113,0.0,0.0
386.0,406.0,114,0.25,0.5
386.0,406.0,115,0.0,0.0
386.0,406.0,116,0.0,0.0
386.0,406.0,117,0.0,0.0
386.0,406.0,118,0.0,0.0
386.0,406.0,119,0.0,0.0
386.0,409.0,84,0.0,0.0
386.0,409.0,85,0.0,0.0
386.0,409.0,86,0.0,0.0
386.0,409.0,87,0.25,0.5
386.0,409.0,88,0.0,0.0
386.0,409.0,89,0.0,0.0
386.0,409.0,90,0.0,0.0
386.0,409.0,91,0.0,0.0
386.0,409.0,92,0.0,0.0
386.0,409.0,93,0.0,0.0
386.0,409.0,94,0.25,0.5
386.0,409.0,95,0.0,0.0
386.0,409.0,96,0.0,0.0
386.0,409.0,97,0.0,0.0
386.0,409.0,98,0.0,0.0
386.0,409.0,99,0.0,0.0
386.0,409.0,100,0.0,0.0
386.0,409.0,101,0.0,0.0
386.0,409.0,102,0.25,0.5
386.0,409.0,103,0.25,0.5
386.0,409.0,104,0.0,0.0
386.0,409.0,105,0.0,0.0
386.0,409.0,106,0.0,0.0
386.0,409.0,107,0.0,0.0
386.0,409.0,108,0.25,0.5
386.0,409.0,109,0.25,0.5
386.0,409.0,110,0.0,0.0
386.0,409.0,111,0.0,0.0
386.0,409.0,112,0.0,0.0
386.0,409.0,113,0.25,0.5
386.0,409.0,114,0.25,0.5
386.0,409.0,115,0.25,0.5
386.0,409.0,116,0.0,0.0
386.0,409.0,117,0.0,0.0
386.0,409.0,118,0.0,0.0
386.0,409.0,119,0.0,0.0
386.0,415.0,84,0.0,0.0
386.0,415.0,85,0.0,0.0
386.0,415.0,86,0.0,0.0
386.0,415.0,87,0.0,0.0
386.0,415.0,88,0.0,0.0
386.0,415.0,89,0.0,0.0
386.0,415.0,90,0.0,0.0
386.0,415.0,91,0.0,0.0
386.0,415.0,92,0.0,0.0
386.0,415.0,93,0.0,0.0
386.0,415.0,94,0.0,0.0
386.0,415.0,95,0.0,0.0
386.0,415.0,96,0.0,0.0
386.0,415.0,97,0.0,0.0
386.0,415.0,98,0.25,0.5
386.0,415.0,99,0.0,0.0
386.0,415.0,100,0.0,0.0
386.0,415.0,101,0.0,0.0
386.0,415.0,102,0.0,0.0
386.0,415.0,103,0.0,0.0
386.0,415.0,104,0.0,0.0
386.0,415.0,105,0.0,0.0
386.0,415.0,106,0.0,0.0
386.0,415.0,107,0.0,0.0
386.0,415.0,108,0.0,0.0
386.0,415.0,109,0.0,0.0
386.0,415.0,110,0.0,0.0
386.0,415.0,111,0.0,0.0
386.0,415.0,112,0.0,0.0
386.0,415.0,113,0.0,0.0
386.0,415.0,114,0.0,0.0
386.0,415.0,115,0.0,0.0
386.0,415.0,116,0.0,0.0
386.0,415.0,117,0.0,0.0
386.0,415.0,118,0.0,0.0
386.0,415.0,119,0.0,0.0
386.0,416.0,84,0.0,0.0
386.0,416.0,85,0.0,0.0
386.0,416.0,86,0.0,0.0
386.0,416.0,87,0.0,0.0
386.0,416.0,88,0.0,0.0
386.0,416.0,89,0.0,0.0
386.0,416.0,90,0.0,0.0
386.0,416.0,91,0.0,0.0
386.0,416.0,92,0.0,0.0
386.0,416.0,93,0.0,0.0
386.0,416.0,94,0.25,0.5
386.0,416.0,95,0.0,0.0
386.0,416.0,96,0.0,0.0
386.0,416.0,97,0.0,0.0
386.0,416.0,98,0.0,0.0
386.0,416.0,99,0.0,0.0
386.0,416.0,100,0.5,1.0
386.0,416.0,101,0.0,0.0
386.0,416.0,102,0.0,0.0
386.0,416.0,103,0.0,0.0
386.0,416.0,104,0.0,0.0
386.0,416.0,105,0.0,0.0
386.0,416.0,106,0.0,0.0
386.0,416.0,107,0.0,0.0
386.0,416.0,108,2.0,1.8257418583505538
386.0,416.0,109,0.0,0.0
386.0,416.0,110,0.0,0.0
386.0,416.0,111,0.0,0.0
386.0,416.0,112,0.0,0.0
386.0,416.0,113,0.0,0.0
386.0,416.0,114,0.25,0.5
386.0,416.0,115,0.0,0.0
386.0,416.0,116,0.0,0.0
386.0,416.0,117,0.0,0.0
386.0,416.0,118,0.0,0.0
386.0,416.0,119,0.0,0.0
386.0,420.0,84,0.0,0.0
386.0,420.0,85,0.0,0.0
386.0,420.0,86,0.0,0.0
386.0,420.0,87,0.0,0.0
386.0,420.0,88,0.0,0.0
386.0,420.0,89,0.0,0.0
386.0,420.0,90,0.0,0.0
386.0,420.0,91,0.0,0.0
386.0,420.0,92,0.0,0.0
386.0,420.0,93,0.0,0.0
386.0,420.0,94,0.0,0.0
386.0,420.0,95,0.0,0.0
386.0,420.0,96,0.0,0.0
386.0,420.0,97,0.0,0.0
386.0,420.0,98,0.25,0.5
386.0,420.0,99,0.0,0.0
386.0,420.0,100,0.25,0.5
386.0,420.0,101,0.0,0.0
386.0,420.0,102,0.0,0.0
386.0,420.0,103,0.0,0.0
386.0,420.0,104,0.0,0.0
386.0,420.0,105,0.0,0.0
386.0,420.0,106,0.0,0.0
386.0,420.0,107,0.0,0.0
386.0,420.0,108,0.0,0.0
386.0,420.0,109,0.0,0.0
386.0,420.0,110,0.0,0.0
386.0,420.0,111,0.0,0.0
386.0,420.0,112,0.0,0.0
386.0,420.0,113,0.0,0.0
386.0,420.0,114,0.0,0.0
386.0,420.0,115,0.0,0.0
386.0,420.0,116,0.0,0.0
386.0,420.0,117,0.0,0.0
386.0,420.0,118,0.0,0.0
386.0,420.0,119,0.0,0.0
386.0,428.0,84,0.0,0.0
386.0,428.0,85,0.0,0.0
386.0,428.0,86,0.0,0.0
386.0,428.0,87,0.25,0.5
386.0,428.0,88,0.0,0.0
386.0,428.0,89,0.0,0.0
386.0,428.0,90,0.0,0.0
386.0,428.0,91,0.0,0.0
386.0,428.0,92,0.0,0.0
386.0,428.0,93,0.0,0.0
386.0,428.0,94,0.0,0.0
386.0,428.0,95,0.0,0.0
386.0,428.0,96,0.0,0.0
386.0,428.0,97,0.0,0.0
386.0,428.0,98,0.0,0.0
386.0,428.0,99,0.0,0.0
386.0,428.0,100,0.0,0.0
386.0,428.0,101,0.0,0.0
386.0,428.0,102,0.0,0.0
386.0,428.0,103,0.0,0.0
386.0,428.0,104,0.0,0.0
386.0,428.0,105,0.25,0.5
386.0,428.0,106,0.0,0.0
386.0,428.0,107,0.0,0.0
386.0,428.0,108,0.0,0.0
386.0,428.0,109,0.0,0.0
386.0,428.0,110,0.0,0.0
386.0,428.0,111,0.0,0.0
386.0,428.0,112,0.0,0.0
