date,trip_id,block_id,stop_sequence,stop_id,avl_arr_sec,avl_dep_sec,schd_sec,route_type
9,910579020,899102,67,8613,32073.0,32077.0,31230,0
9,911242020,907802,67,8613,32025.0,32025.0,31500,0
9,910043020,899602,67,8613,32270.0,32270.0,31770,0
9,910992020,899102,1,8613,32101.0,32101.0,31770,1
9,911243020,907802,1,8613,32036.0,32036.0,32010,1
9,911933020,887902,67,8613,32564.0,32564.0,32040,0
9,910040020,899602,1,8613,32281.0,32281.0,32280,1
9,911386020,907002,67,8613,32907.0,32907.0,32310,0
9,911930020,887902,1,8613,32576.0,32576.0,32550,1
9,911972020,887702,67,8613,32979.0,32979.0,32580,0
9,911387020,907002,1,8613,33107.0,33107.0,32820,1
9,911318020,897302,67,8613,33924.0,33924.0,32880,0
9,911953020,887802,67,8613,33457.0,33512.0,33240,0
9,911953020,887802,67,8613,33512.0,34655.0,33240,0
9,911953020,887802,67,8613,33448.0,33448.0,33240,0
9,911321020,897302,1,8613,33936.0,33936.0,33390,1
9,911458020,907902,63,386,34660.0,34685.0,34530,1
9,911243020,907802,63,386,35145.0,35153.0,35010,1
9,911455020,907902,1,386,34688.0,35056.0,35100,0
9,911930020,887902,63,386,35538.0,35925.0,35550,1
9,911244020,907802,1,386,35295.0,35564.0,35700,0
9,911321020,897302,63,386,38275.0,38327.0,36390,1
10,911385020,907002,1,8613,17832.0,17832.0,18000,1
10,911000030,899503,1,386,20131.0,20267.0,20220,0
10,911385020,907002,63,386,21356.0,21503.0,20760,1
10,911239020,907802,23,386,21130.0,21164.0,20820,2
10,911240020,907802,1,386,21171.0,21171.0,21000,0
10,911315020,897302,1,15136,21524.0,21559.0,21300,2
10,911381020,907002,1,386,21565.0,21565.0,21600,0
10,911315020,897302,23,386,22339.0,22383.0,22020,2
10,911316020,897302,1,386,22405.0,22405.0,22200,0
10,911000030,899503,67,8613,23019.0,23408.0,23040,0
10,911003030,899503,1,8613,23469.0,23469.0,23520,1
10,911240020,907802,67,8613,24524.0,24524.0,23820,0
10,911241020,907802,1,8613,24532.0,24532.0,24300,1
10,911381020,907002,67,8613,24932.0,24932.0,24420,0
10,911382020,907002,1,8613,24945.0,24945.0,24900,1
10,911316020,897302,67,8613,25643.0,25647.0,25020,0
10,911003030,899503,63,386,26788.0,26791.0,26280,1
10,911452020,907902,1,15136,26205.0,26214.0,26280,2
10,910939020,899102,1,15136,26850.0,26851.0,26550,2
10,911004030,899503,1,386,26880.0,26880.0,26970,0
10,910042020,899602,1,15136,27015.0,27015.0,27030,2
10,911241020,907802,63,386,27780.0,27786.0,27180,1
10,910529020,887902,1,15136,27245.0,27319.0,27300,2
10,910939020,899102,23,386,27811.0,27821.0,27330,2
10,910579020,899102,1,386,27829.0,27829.0,27510,0
10,911242020,907802,1,386,28087.0,28105.0,27780,0
10,911971020,887702,1,15136,28791.0,28811.0,27840,2
10,910042020,899602,23,386,27897.0,28000.0,27870,2
10,911382020,907002,63,386,28091.0,28414.0,27900,1
10,910043020,899602,1,386,28014.0,28035.0,28050,0
10,910529020,887902,23,386,28148.0,28159.0,28140,2
10,911933020,887902,1,386,28248.0,28248.0,28320,0
10,911317020,897302,63,386,29164.0,29356.0,28500,1
10,911386020,907002,1,386,28512.0,28550.0,28590,0
10,911972020,887702,1,386,29716.0,29716.0,28860,0
10,911318020,897302,1,386,29366.0,29366.0,29160,0
10,911951020,887802,23,386,29636.0,29676.0,29340,2
10,911953020,887802,1,386,29688.0,29688.0,29520,0
10,911457020,907902,67,8613,31664.0,31664.0,30960,0
10,910579020,899102,67,8613,32286.0,32286.0,31230,0
10,911005030,899503,1,8613,31271.0,31313.0,31290,1
10,911242020,907802,67,8613,32215.0,32215.0,31500,0
10,911458020,907902,1,8613,31680.0,31680.0,31530,1
10,910043020,899602,67,8613,32461.0,32461.0,31770,0
10,910992020,899102,1,8613,32312.0,32312.0,31770,1
10,911243020,907802,1,8613,32299.0,32299.0,32010,1
10,910040020,899602,1,8613,32498.0,32498.0,32280,1
10,911930020,887902,1,8613,32486.0,32486.0,32550,1
10,911387020,907002,1,8613,33545.0,33545.0,32820,1
10,911318020,897302,67,8613,33584.0,33584.0,32880,0
10,911973020,887702,1,8613,33796.0,33796.0,33090,1
10,911953020,887802,67,8613,33769.0,33769.0,33240,0
10,911321020,897302,1,8613,33617.0,33617.0,33390,1
10,911954020,887802,1,8613,33805.0,33805.0,33750,1
10,911458020,907902,63,386,35685.0,35813.0,34530,1
10,911455020,907902,1,386,35825.0,35825.0,35100,0
10,911244020,907802,1,386,36200.0,36258.0,35700,0
10,911321020,897302,63,386,37381.0,37400.0,36390,1
10,911954020,887802,63,386,37374.0,37389.0,36750,1
11,911385020,907002,1,8613,18120.0,18120.0,18000,1
11,911239020,907802,1,15136,20073.0,20073.0,20100,2
11,911000030,899503,1,386,20316.0,20316.0,20220,0
11,911385020,907002,63,386,20843.0,21125.0,20760,1
11,911239020,907802,23,386,20836.0,21004.0,20820,2
11,911240020,907802,1,386,21017.0,21017.0,21000,0
11,911315020,897302,1,15136,21339.0,21355.0,21300,2
11,911381020,907002,1,386,21138.0,21562.0,21600,0
11,911315020,897302,23,386,22181.0,22194.0,22020,2
11,911316020,897302,1,386,22200.0,22229.0,22200,0
11,911000030,899503,67,8613,23031.0,23031.0,23040,0
11,911003030,899503,1,8613,23595.0,23595.0,23520,1
11,911240020,907802,67,8613,24469.0,24469.0,23820,0
11,911241020,907802,1,8613,24480.0,24480.0,24300,1
11,911381020,907002,67,8613,24913.0,24913.0,24420,0
11,911382020,907002,1,8613,24922.0,24922.0,24900,1
11,911316020,897302,67,8613,25784.0,25784.0,25020,0
11,911317020,897302,1,8613,25791.0,25791.0,25500,1
11,911003030,899503,63,386,27069.0,27069.0,26280,1
11,910939020,899102,1,15136,26414.0,26436.0,26550,2
11,911004030,899503,1,386,27084.0,27084.0,26970,0
11,910042020,899602,1,15136,26946.0,26967.0,27030,2
11,911241020,907802,63,386,27329.0,27899.0,27180,1
11,911457020,907902,1,386,27347.0,27347.0,27240,0
11,910529020,887902,1,15136,27337.0,27337.0,27300,2
11,910939020,899102,23,386,27214.0,27331.0,27330,2
11,911242020,907802,1,386,27910.0,27910.0,27780,0
11,911971020,887702,1,15136,27932.0,27954.0,27840,2
11,910042020,899602,23,386,28033.0,28034.0,27870,2
11,910043020,899602,1,386,28036.0,28042.0,28050,0
11,910529020,887902,23,386,28164.0,28354.0,28140,2
11,911317020,897302,63,386,29382.0,29715.0,28500,1
11,911951020,887802,1,15136,28512.0,28512.0,28500,2
11,911386020,907002,1,386,28570.0,28570.0,28590,0
11,911971020,887702,23,386,28851.0,28851.0,28680,2
