 stop_id,  arr_t,  dep_t,  bus_load,  pick_count,  drop_count,  denied_count 
417 27744.0 27744.0 4 0 0 0
15185 27775.2 27775.2 4 0 0 0
16110 27814.5 27814.5 4 0 0 0
420 27871.3 27879.4 5 1 0 0
421 27899.8 27899.8 5 0 0 0
16088 27933.5 27933.5 5 0 0 0
423 27964.1 27964.1 5 0 0 0
15364 28094.0 28102.1 5 1 1 0
425 28184.4 28184.4 5 0 0 0
15384 28219.3 28219.3 5 0 0 0
427 28259.8 28259.8 5 0 0 0
428 28318.8 28326.9 6 1 0 0
429 28398.6 28398.6 6 0 0 0
430 28447.9 28447.9 6 0 0 0
431 28502.7 28502.7 6 0 0 0
4727 28566.4 28574.5 7 1 0 0
432 28656.7 28664.8 7 1 1 0
15279 28773.6 28773.6 7 0 0 0
16049 28809.7 28809.7 7 0 0 0
     }
- - - - - -
911298020 {
386 26478.6 26478.6 1 1 0 0
388 26534.9 26543.0 2 1 0 0
389 26577.5 26577.5 2 0 0 0
390 26602.5 26610.6 3 1 0 0
391 26638.3 26638.3 3 0 0 0
14956 26705.2 26716.4 5 2 0 0
393 26758.1 26758.1 5 0 0 0
394 26778.7 26778.7 5 0 0 0
395 26815.9 26815.9 5 0 0 0
396 26853.1 26853.1 5 0 0 0
397 26890.5 26890.5 5 0 0 0
17169 26947.8 26955.9 6 1 0 0
17162 27032.4 27032.4 6 0 0 0
14959 27117.3 27117.3 6 0 0 0
402 27155.4 27166.6 8 2 0 0
403 27199.8 27199.8 8 0 0 0
17163 27237.1 27237.1 8 0 0 0
15848 27296.3 27304.4 9 1 0 0
406 27345.5 27351.7 8 0 1 0
14500 27407.0 27407.0 8 0 0 0
15852 27452.8 27460.9 9 1 0 0
409 27495.9 27507.1 10 2 1 0
18047 27575.4 27575.4 10 0 0 0
17841 27643.3 27643.3 10 0 0 0
412 27689.9 27689.9 10 0 0 0
413 27731.6 27731.6 10 0 0 0
14764 27780.1 27788.2 9 1 2 0
415 27848.3 27848.3 9 0 0 0
416 27908.0 27915.4 7 0 2 0
417 27993.7 27993.7 7 0 0 0
15185 28032.4 28032.4 7 0 0 0
16110 28073.5 28073.5 7 0 0 0
420 28123.8 28131.9 7 1 1 0
421 28152.5 28152.5 7 0 0 0
16088 28176.9 28176.9 7 0 0 0
423 28219.1 28219.1 7 0 0 0
15364 28331.5 28342.7 7 2 2 0
425 28425.5 28425.5 7 0 0 0
15384 28467.7 28467.7 7 0 0 0
427 28515.7 28523.8 8 1 0 0
428 28566.8 28574.9 9 1 0 0
429 28628.1 28628.1 9 0 0 0
430 28658.0 28658.0 9 0 0 0
431 28708.3 28708.3 9 0 0 0
4727 28758.0 28758.0 9 0 0 0
432 28832.2 28840.3 9 1 1 0
     }
- - - - - -
910955020 {
386 26700 26700 0 0 0 0
388 26744.9 26744.9 0 0 0 0
389 26785.8 26785.8 0 0 0 0
390 26805.3 26805.3 0 0 0 0
391 26826.6 26834.7 1 1 0 0
14956 26925.8 26925.8 1 0 0 0
393 26958.7 26958.7 1 0 0 0
394 26980.7 26988.8 2 1 0 0
395 27025.1 27025.1 2 0 0 0
396 27059.6 27059.6 2 0 0 0
397 27095.7 27106.9 4 2 0 0
17169 27189.9 27189.9 4 0 0 0
17162 27227.0 27238.2 6 2 0 0
14959 27328.9 27328.9 6 0 0 0
402 27367.9 27367.9 6 0 0 0
403 27403.6 27403.6 6 0 0 0
17163 27429.8 27429.8 6 0 0 0
15848 27485.0 27485.0 6 0 0 0
406 27522.4 27528.6 5 0 1 0
14500 27589.6 27597.7 6 1 0 0
15852 27638.6 27646.7 7 1 0 0
409 27681.3 27689.4 7 1 1 0
18047 27763.9 27763.9 7 0 0 0
17841 27824.9 27824.9 7 0 0 0
412 27875.7 27875.7 7 0 0 0
413 27918.6 27918.6 7 0 0 0
14764 27975.9 27982.1 6 0 1 0
415 28026.3 28026.3 6 0 0 0
416 28068.1 28074.3 5 0 1 0
417 28141.7 28141.7 5 0 0 0
15185 28172.1 28172.1 5 0 0 0
16110 28215.1 28226.3 7 2 0 0
420 28286.9 28293.1 6 0 1 0
421 28311.9 28311.9 6 0 0 0
16088 28335.7 28335.7 6 0 0 0
423 28376.0 28376.0 6 0 0 0
15364 28520.8 28544.4 11 6 1 0
425 28621.0 28621.0 11 0 0 0
15384 28658.1 28658.1 11 0 0 0
427 28704.2 28712.3 12 1 0 0
428 28755.3 28761.5 11 0 1 0
429 28805.2 28805.2 11 0 0 0
430 28838.8 28838.8 11 0 0 0
     }
- - - - - -
911004030 {
386 27029.8 27029.8 2 2 0 0
388 27068.5 27068.5 2 0 0 0
389 27095.5 27095.5 2 0 0 0
390 27124.1 27124.1 2 0 0 0
391 27141.4 27152.6 4 2 0 0
14956 27220.8 27232.0 5 2 1 0
393 27273.8 27273.8 5 0 0 0
394 27294.0 27294.0 5 0 0 0
395 27332.7 27332.7 5 0 0 0
396 27359.6 27367.7 6 1 0 0
397 27426.7 27434.8 7 1 0 0
17169 27484.5 27484.5 7 0 0 0
17162 27532.6 27532.6 7 0 0 0
14959 27595.7 27595.7 7 0 0 0
402 27629.9 27629.9 7 0 0 0
403 27656.0 27656.0 7 0 0 0
17163 27692.1 27700.2 8 1 0 0
15848 27742.5 27742.5 8 0 0 0
406 27782.3 27788.5 7 0 1 0
14500 27841.8 27841.8 7 0 0 0
15852 27891.8 27891.8 7 0 0 0
409 27922.0 27928.2 6 0 1 0
18047 28007.1 28007.1 6 0 0 0
17841 28097.9 28109.1 8 2 0 0
412 28194.0 28194.0 8 0 0 0
413 28238.3 28238.3 8 0 0 0
14764 28301.1 28315.4 10 3 1 0
415 28382.7 28382.7 10 0 0 0
416 28427.9 28442.2 11 3 2 0
