 stop_id,  arr_t,  dep_t,  bus_load,  pick_count,  drop_count,  denied_count,  hold_sec 
417 28303.5 28303.5 7 0 0 0 0
15185 28339.3 28347.4 8 1 0 0 0
16110 28391.4 28398.6 7 0 1 0 7.240219805153174
420 28459.8 28466.0 6 0 1 0 0
421 28486.2 28486.2 6 0 0 0 0
16088 28509.7 28509.7 6 0 0 0 0
423 28547.8 28555.9 7 1 0 0 0
15364 28669.8 28677.2 5 0 2 0 0
425 28741.1 28772.9 6 1 0 0 31.82804451316042
15384 28811.1 28811.1 6 0 0 0 0
427 28856.1 28867.3 8 2 0 0 0
     }
- - - - - -
911004030 {
386 27019.6 27019.6 1 1 0 0 0
388 27070.4 27078.5 2 1 0 0 0
389 27105.9 27105.9 2 0 0 0 0
390 27131.6 27131.6 2 0 0 0 0
391 27154.8 27154.8 2 0 0 0 0
14956 27215.3 27226.5 4 2 0 0 0
393 27264.7 27264.7 4 0 0 0 0
394 27279.0 27293.3 7 3 0 0 0
395 27325.7 27333.8 8 1 0 0 0
396 27369.3 27377.4 9 1 0 0 0
397 27433.5 27433.5 9 0 0 0 0
17169 27479.0 27479.0 9 0 0 0 0
17162 27527.9 27527.9 9 0 0 0 0
14959 27589.9 27589.9 9 0 0 0 0
402 27622.6 27622.6 9 0 0 0 0
403 27645.4 27685.4 9 0 0 0 40
17163 27722.0 27730.1 10 1 0 0 0
15848 27779.8 27787.9 11 1 0 0 0
406 27823.7 27831.1 9 0 2 0 0
14500 27880.2 27888.3 10 1 0 0 6.797689940362034
15852 27958.6 27966.7 11 1 0 0 0
409 28006.0 28013.4 9 0 2 0 0
18047 28110.4 28118.5 10 1 0 0 0
17841 28175.1 28175.1 10 0 0 0 0
412 28232.4 28232.4 10 0 0 0 0
413 28272.2 28297.2 10 0 0 0 24.977855496610573
14764 28354.6 28368.9 11 3 2 0 0
415 28413.0 28413.0 11 0 0 0 0
416 28473.6 28481.7 10 1 2 0 0
417 28557.7 28557.7 10 0 0 0 0
15185 28592.2 28592.2 10 0 0 0 0
16110 28637.7 28643.9 9 0 1 0 0
420 28703.0 28711.1 8 1 2 0 0
421 28732.3 28740.4 9 1 0 0 0
16088 28762.2 28762.2 9 0 0 0 0
423 28795.5 28795.5 9 0 0 0 0
     }
- - - - - -
911457020 {
386 27240 27240 0 0 0 0 0
388 27282.5 27282.5 0 0 0 0 0
389 27303.9 27303.9 0 0 0 0 0
390 27330.1 27370.1 0 0 0 0 40
391 27390.4 27390.4 0 0 0 0 0
14956 27460.2 27468.3 1 1 0 0 0
393 27500.2 27500.2 1 0 0 0 0
394 27514.1 27528.4 4 3 0 0 0
395 27559.3 27567.4 5 1 0 0 0
396 27597.4 27597.4 5 0 0 0 0
397 27646.1 27654.2 6 1 0 0 0
17169 27713.1 27713.1 6 0 0 0 0
17162 27752.3 27752.3 6 0 0 0 0
14959 27809.0 27809.0 6 0 0 0 0
402 27837.7 27837.7 6 0 0 0 0
403 27862.2 27902.2 7 1 0 0 40
17163 27940.7 27940.7 7 0 0 0 0
15848 28006.4 28014.5 8 1 0 0 0
406 28053.9 28062.0 8 1 1 0 0
14500 28121.4 28155.6 7 0 1 0 34.189429787107656
15852 28213.5 28221.6 8 1 0 0 0
409 28254.8 28261.0 7 0 1 0 0
18047 28339.3 28347.4 8 1 0 0 0
17841 28420.3 28428.4 9 1 0 0 0
412 28514.3 28514.3 9 0 0 0 0
413 28551.6 28551.6 9 0 0 0 0
14764 28616.6 28624.0 7 0 2 0 0
415 28665.9 28665.9 7 0 0 0 0
416 28714.2 28720.4 6 0 1 0 0
417 28792.7 28792.7 6 0 0 0 0
15185 28833.2 28841.3 7 1 0 0 0
     }
- - - - - -
910579020 {
386 27565.4 27565.4 0 0 0 0 0
388 27601.5 27601.5 0 0 0 0 0
389 27631.6 27631.6 0 0 0 0 0
390 27659.2 27659.2 0 0 0 0 0
391 27680.9 27689.0 1 1 0 0 0
14956 27756.8 27764.9 2 1 0 0 0
393 27800.9 27815.2 5 3 0 0 0
394 27834.5 27842.6 6 1 0 0 0
395 27885.9 27885.9 6 0 0 0 0
396 27914.4 27914.4 6 0 0 0 0
397 27969.3 27969.3 6 0 0 0 0
17169 28018.0 28018.0 6 0 0 0 0
17162 28059.3 28059.3 6 0 0 0 0
14959 28132.0 28132.0 6 0 0 0 0
402 28174.2 28182.3 7 1 0 0 0
403 28207.6 28207.6 7 0 0 0 0
17163 28251.3 28251.3 7 0 0 0 0
15848 28302.2 28302.2 7 0 0 0 0
406 28338.2 28346.3 7 1 1 0 0
14500 28397.5 28425.4 7 0 0 0 27.963252105590072
15852 28474.8 28482.9 8 1 0 0 0
409 28520.7 28526.9 7 0 1 0 0
