boarding_stop,alighting_stop,arrival_time,times_denied,boarding_time,trip_id,alighting_time
3746,3756,23978.584254051555,0,24027.487613130477,20296020,24496.38104992398
3748,3756,23654.322989317898,0,24160.578012544465,20296020,24496.38104992398
18580,2363,23994.19528986668,0,24154.066264921777,25072020,24542.69614727744
14102,18106,23760.08696142947,0,23979.29701589666,7518020,24555.15656567866
15948,17038,23464.846860725207,0,23467.74658641192,19931020,24614.503213728873
18107,17038,23542.88285616026,0,23804.178266827206,19931020,24614.503213728873
18107,17038,23797.013736105822,0,23804.178266827206,19931020,24614.503213728873
3807,17038,23545.681056280522,0,23843.810966403904,19931020,24614.503213728873
3808,17038,23497.81950539862,0,23901.451787417816,19931020,24614.503213728873
3813,17038,23795.793309214783,0,24165.988457742926,19931020,24614.503213728873
3814,17038,23512.044419025526,0,24208.17574536157,19931020,24614.503213728873
3818,17038,24055.55843060197,0,24357.87016215456,19931020,24614.503213728873
3820,17038,23936.586162184987,0,24439.06483773862,19931020,24614.503213728873
3774,18393,23242.77617461154,0,24321.0,8564020,24636.45866297015
3750,3760,23682.458652191173,0,24245.9252161073,20296020,24680.33353677139
3726,3752,23527.917669698287,0,23558.651003828465,3320020,24694.776984725173
4908,3773,23675.40542486553,0,23967.520419908324,25072020,24705.91766951112
4941,3803,23180.958896560835,0,23675.812794531317,24619020,24707.93207167237
3748,3753,24389.71064774868,0,24532.990939869604,3320020,24732.545352041834
3776,4941,23683.881652433625,0,24418.49487819646,8564020,24734.35040780756
14582,4941,24195.963983708516,0,24525.660271378005,8564020,24734.35040780756
14582,4941,24330.830117122085,0,24525.660271378005,8564020,24734.35040780756
14582,4941,24462.46870535526,0,24525.660271378005,8564020,24734.35040780756
4941,3804,23371.24238927538,0,23675.812794531317,24619020,24787.420106102887
3744,3756,24176.464478010897,0,24329.72829267927,3320020,24836.295467049436
3750,3765,23577.69532717276,0,24245.9252161073,20296020,24847.65643947757
14102,3746,23685.300635192634,0,23979.29701589666,7518020,24890.336966563114
14102,3746,23767.984105835254,0,23979.29701589666,7518020,24890.336966563114
14102,3746,23790.324253487757,0,23979.29701589666,7518020,24890.336966563114
14102,3746,23824.43427548184,0,23979.29701589666,7518020,24890.336966563114
3733,3746,23860.989770388125,0,24271.29843772043,7518020,24890.336966563114
18607,3746,24312.817777699947,0,24452.37636927433,7518020,24890.336966563114
3739,3746,24326.803384130057,0,24475.90013737333,7518020,24890.336966563114
18106,3746,24472.452669604783,0,24555.15656567866,7518020,24890.336966563114
3741,3746,24455.88090594585,0,24594.10747508856,7518020,24890.336966563114
3743,3746,24523.89256373261,0,24689.57352997162,7518020,24890.336966563114
3743,3746,24669.844141228074,0,24689.57352997162,7518020,24890.336966563114
3802,18107,24200.575047391954,0,24652.92634117264,24619020,24922.35206938147
3728,3747,23766.498480862116,0,24105.00632117028,7518020,24957.42464954489
4941,3807,23294.54589550493,0,23675.812794531317,24619020,24961.935765908205
14102,3732,24429.53063089833,0,24690.0,10006020,24984.70543565579
3742,3748,24468.044038644126,0,24643.13135664175,7518020,24991.496843432196
3743,3748,24387.522188087492,0,24689.57352997162,7518020,24991.496843432196
3741,3760,24024.19493568372,0,24153.0026372289,3320020,25039.932717952135
3802,3810,23670.12960763427,0,24652.92634117264,24619020,25142.348310602058
3802,3810,23680.549101789118,0,24652.92634117264,24619020,25142.348310602058
3804,3810,23910.309051750522,0,24787.420106102887,24619020,25142.348310602058
18107,3810,24021.141934362782,0,24922.35206938147,24619020,25142.348310602058
18107,3810,24180.854955835875,0,24922.35206938147,24619020,25142.348310602058
18107,3810,24379.499622653246,0,24922.35206938147,24619020,25142.348310602058
3807,3810,24334.148979640733,0,24961.935765908205,24619020,25142.348310602058
14102,18106,24235.052593957127,0,24330.0,24499020,25153.82864387887
14582,17603,24149.13235783491,0,24525.660271378005,8564020,25185.776324012844
3731,18580,23059.97384492973,0,23226.463984616938,20296020,25187.76931576852
17475,18580,22702.461681867306,0,23474.246512107064,20296020,25187.76931576852
3749,18580,23567.238664728837,0,24205.460874866756,20296020,25187.76931576852
3752,18580,23993.705298416524,0,24334.286563361413,20296020,25187.76931576852
17251,18580,23735.503987582808,0,24437.18503410926,20296020,25187.76931576852
3756,18580,24081.040104639287,0,24496.38104992398,20296020,25187.76931576852
3756,18580,24190.548153262233,0,24496.38104992398,20296020,25187.76931576852
3762,18580,24687.59616045095,0,24785.219664280245,20296020,25187.76931576852
14102,3741,24139.179323751534,0,24330.0,24499020,25195.954764986553
14102,3741,24291.730840502438,0,24330.0,24499020,25195.954764986553
17475,3741,24890.54919761843,0,24918.53387641743,24499020,25195.954764986553
15461,17604,24115.608276029783,0,24567.806630428688,8564020,25242.131547996618
4945,17604,24021.461074944316,0,24882.969352661956,8564020,25242.131547996618
4945,17604,24190.640281991782,0,24882.969352661956,8564020,25242.131547996618
3750,3752,24907.506184159647,0,25160.6604432177,7518020,25248.255537091318
3803,3813,24170.009912809128,0,24707.93207167237,24619020,25263.148073246113
3810,3814,24389.724477898126,0,25142.348310602058,24619020,25342.743989855302
3810,3814,24674.12828786655,0,25142.348310602058,24619020,25342.743989855302
3730,3745,24462.846220493448,0,24667.840997231648,24499020,25356.736700089394
3787,3815,23562.228547115297,0,24006.041115617743,24619020,25370.65145180428
3809,3815,24634.780815594866,0,25102.992327772597,24619020,25370.65145180428
3746,3756,24695.15015299433,0,24890.336966563114,7518020,25386.05574150171
3748,3756,24645.95403102358,0,24991.496843432196,7518020,25386.05574150171
3749,3756,24689.994791972196,0,25089.282944861716,7518020,25386.05574150171
18580,3771,25205.7479390311,0,25208.102738718044,20296020,25401.102738718044
3777,4941,24821.410572580502,0,25033.0,29414020,25410.064053994887
3777,4941,24830.768061708102,0,25033.0,29414020,25410.064053994887
18393,4941,24801.53919222465,0,25262.169973332624,29414020,25410.064053994887
14102,3746,24077.046926487634,0,24330.0,24499020,25415.643835705392
14102,3746,24176.294457932614,0,24330.0,24499020,25415.643835705392
3733,3746,24622.174236904953,0,24764.299235103394,24499020,25415.643835705392
3737,3746,24661.49681052557,0,25017.78066573082,24499020,25415.643835705392
3739,3746,24909.609524723328,0,25086.742175956984,24499020,25415.643835705392
18106,3746,25091.32132318669,0,25153.82864387887,24499020,25415.643835705392
3741,3746,24705.394892938817,0,25195.954764986553,24499020,25415.643835705392
3741,3746,24770.001413043934,0,25195.954764986553,24499020,25415.643835705392
3741,3746,24913.53605568905,0,25195.954764986553,24499020,25415.643835705392
3742,3746,24913.742833840806,0,25246.374144331152,24499020,25415.643835705392
3742,3746,24967.765789882957,0,25246.374144331152,24499020,25415.643835705392
3743,3746,25065.698464533,0,25286.915631879434,24499020,25415.643835705392
3744,3746,24827.468578271306,0,25317.53806133946,24499020,25415.643835705392
3745,3746,25353.93653058502,0,25356.736700089394,24499020,25415.643835705392
3810,17133,24778.64549532076,0,25142.348310602058,24619020,25471.553907638652
3812,3818,24931.207633461803,0,25225.463411331482,24619020,25509.86842481851
3739,3748,25078.444338371974,0,25086.742175956984,24499020,25530.316962573746
18106,18580,23825.08533450755,0,24098.441291636373,3320020,25579.16159522671
3760,18580,24826.782796252995,0,25039.932717952135,3320020,25579.16159522671
