boarding_stop,alighting_stop,arrival_time,times_denied,route_id,boarding_time,trip_id,alighting_time
3741,3746,25916.422025962125,0,81,25999.35930942622,43223020,26317.05408452109
3742,3746,25279.716726856706,0,81,26062.468261456885,43223020,26317.05408452109
3742,3746,25387.04803541565,0,81,26062.468261456885,43223020,26317.05408452109
3742,3746,25786.534603517575,0,81,26062.468261456885,43223020,26317.05408452109
3742,3746,25862.138565107023,0,81,26062.468261456885,43223020,26317.05408452109
3743,3746,25684.349584870695,0,81,26132.263772531383,43223020,26317.05408452109
3743,3746,25957.777694301407,0,81,26132.263772531383,43223020,26317.05408452109
3744,3746,25352.466842357288,0,81,26200.562508538565,43223020,26317.05408452109
4908,2363,25908.04553114962,0,81,25911.47091897972,7518020,26331.501069220198
4941,3809,24131.498806957243,0,81,24755.28439928538,8564020,26358.76902263908
4941,3809,24271.7772255058,0,81,24755.28439928538,8564020,26358.76902263908
3805,3809,25514.91419753197,0,81,25965.06762518776,8564020,26358.76902263908
14102,3739,25636.806673651365,0,81,25696.244913815608,4552020,26391.73177786494
3743,3747,25254.31618087998,0,81,26132.263772531383,43223020,26399.033290511576
18106,3746,26014.693413945064,0,81,26078.489827631216,43965020,26423.243831352836
3741,3746,26044.15580630541,0,81,26119.906741320265,43965020,26423.243831352836
3744,3746,26252.276293906587,0,81,26291.1327965134,43965020,26423.243831352836
14582,4941,25350.344223519776,0,81,26093.81428778103,34233020,26434.526217950635
14582,4941,25734.78608912948,0,81,26093.81428778103,34233020,26434.526217950635
3728,3748,24141.025151968963,0,81,25305.90821874249,43223020,26435.941573574783
18106,3748,25009.829995530126,0,81,25947.540983161274,43223020,26435.941573574783
3745,3748,25241.718291100988,0,81,26264.494919549994,43223020,26435.941573574783
14102,18106,25516.852439484865,0,81,25696.244913815608,4552020,26464.74375514126
18607,18106,26291.395384264346,0,81,26341.930446232727,4552020,26464.74375514126
14582,3810,24502.415177153784,0,81,24532.386046352643,8564020,26473.968220870527
4947,3810,24275.925313925418,0,81,24917.88932222152,8564020,26473.968220870527
18107,3810,25246.070047582347,0,81,26115.046948895473,8564020,26473.968220870527
18107,3810,25980.872092668378,0,81,26115.046948895473,8564020,26473.968220870527
14102,3741,25586.51302779605,0,81,25696.244913815608,4552020,26527.512087320734
4941,4943,25865.899665036835,0,81,26434.526217950635,34233020,26533.455285874446
