1 {
14500 30676.95 7
15852 30729.11 7
409 30774.93 6
18047 30913.49 6
17841 30970.96 8
412 31030.91 8
413 31094.05 8
14764 31153.25 7
415 31190.62 7
416 31226.39 6
417 31295.54 10
15185 31362.39 11
16110 31417.13 10
420 31455.81 9
421 31479.92 9
16088 31518.17 9
423 31555.72 8
15364 31737.52 6
425 31833.2 6
15384 31864.38 7
427 31951.58 8
428 31990.26 8
429 32027.42 8
430 32070.21 8
431 32127.28 8
4727 32197.96 8
432 32357.13 8
15279 32437.97 8
16049 32467.7 9
435 32522.07 9
436 32585.31 10
437 32686.34 11
14647 32831.29 12
439 32890.57 14
440 32994.89 15
12754 33111.68 16
442 33187.29 12
443 33358.11 14
445 33554.14 10
446 33639.13 7
18122 33768.59 8
448 33930.46 0
1119 34139.67 0
1120 34214.3 0
1121 34274.84 0
3953 34353.14 0
3954 34385.74 0
8613 34629.93 0
     }
- - - - - -
17 {
386 30099.62 1
388 30198.03 2
389 30222.71 2
390 30281.99 3
391 30304.98 3
14956 30377.05 4
393 30438.2 4
394 30460.1 5
395 30509.23 5
396 30532.35 6
397 30574.23 5
17169 30631.35 5
17162 30690.55 5
14959 30809.58 5
402 30844.99 5
403 30863.53 5
17163 30944.05 6
15848 30991.6 6
406 31046.42 6
14500 31116.84 7
15852 31172.34 7
409 31212.43 6
18047 31316.57 5
17841 31366.34 5
412 31475.76 5
413 31512.5 5
14764 31583.52 5
415 31634.29 4
416 31667.57 5
417 31751.0 5
15185 31787.16 6
16110 31855.45 8
420 31911.25 8
421 31945.84 8
16088 31962.35 8
423 32008.32 9
15364 32176.01 10
425 32260.56 10
15384 32313.97 10
427 32353.37 10
428 32434.27 9
429 32470.25 9
430 32494.86 8
431 32560.99 7
4727 32618.86 9
432 32755.98 8
15279 32843.51 8
16049 32873.36 8
435 32933.53 9
436 33018.18 8
437 33071.36 8
14647 33155.71 8
439 33228.38 8
440 33349.45 7
12754 33457.72 7
442 33527.48 6
443 33648.38 6
445 33848.96 6
446 33972.72 4
18122 34067.94 3
448 34179.36 0
1119 34324.12 0
1120 34381.22 0
1121 34431.95 0
3953 34490.48 0
3954 34535.92 0
8613 34678.14 0
     }
- - - - - -
18 {
386 30417.66 1
388 30476.77 1
389 30504.99 1
390 30533.88 2
391 30560.52 2
14956 30648.63 3
393 30677.5 4
394 30693.9 4
395 30746.22 6
396 30785.04 6
397 30836.57 7
17169 30873.34 7
17162 30922.97 8
14959 31054.73 7
402 31081.56 8
403 31106.97 8
17163 31159.08 8
15848 31205.99 8
406 31239.34 8
14500 31301.86 8
15852 31363.65 8
409 31396.09 7
18047 31488.21 7
17841 31560.97 6
412 31624.98 6
413 31657.07 6
14764 31707.44 5
415 31748.16 4
416 31805.83 4
417 31874.65 4
15185 31918.06 4
16110 31988.74 4
420 32054.77 3
421 32087.32 3
16088 32117.31 3
423 32144.6 3
15364 32283.45 3
425 32338.17 3
15384 32385.36 3
427 32429.44 3
428 32484.14 3
429 32511.51 3
430 32556.01 3
431 32607.13 3
4727 32679.59 3
432 32748.41 3
15279 32814.74 3
16049 32862.24 4
435 32933.04 4
436 33005.08 6
437 33065.29 6
14647 33176.94 6
439 33239.45 6
440 33370.24 5
12754 33462.48 6
442 33520.95 5
443 33600.59 6
445 33754.73 6
446 33827.95 4
18122 33894.48 4
448 34016.51 0
1119 34203.45 0
1120 34255.54 0
1121 34303.67 0
3953 34382.24 0
3954 34423.83 0
8613 34765.18 0
     }
- - - - - -
19 {
386 30609.08 1
388 30696.62 1
389 30723.86 2
390 30743.87 2
391 30755.78 2
14956 30850.71 2
393 30936.22 2
394 30967.09 2
395 31004.15 2
396 31054.27 2
397 31122.13 2
17169 31184.34 2
17162 31267.39 3
14959 31359.66 3
402 31391.78 4
403 31413.89 4
17163 31481.42 4
15848 31553.87 5
406 31608.75 8
14500 31652.58 8
15852 31700.19 8
409 31754.86 6
18047 31840.77 6
17841 31919.66 8
412 31978.1 8
413 32009.62 8
14764 32043.29 8
415 32083.85 7
416 32156.46 6
417 32204.7 6
15185 32258.3 6
16110 32300.88 6
420 32343.98 6
421 32364.4 6
16088 32381.5 6
423 32410.45 6
15364 32535.98 5
425 32681.35 5
15384 32730.28 6
427 32802.55 8
428 32852.11 9
429 32895.98 8
430 32914.4 7
431 32995.67 6
4727 33054.43 10
432 33155.86 11
15279 33223.0 12
16049 33275.42 16
435 33318.83 20
436 33387.35 17
437 33444.21 17
14647 33516.03 18
439 33576.24 17
440 33728.42 15
12754 33822.22 15
442 33939.26 14
443 34074.6 13
445 34473.97 12
446 34569.78 10
18122 34655.67 8
448 34767.88 3
1119 34922.23 3
1120 35026.03 3
1121 35114.07 3
3953 35169.03 3
3954 35205.08 3
8613 35364.18 0
     }
- - - - - -
20 {
386 30918.21 1
388 31004.88 1
389 31038.16 1
390 31067.76 1
391 31080.07 1
14956 31183.57 2
393 31210.45 2
394 31236.64 2
395 31264.39 2
396 31285.89 2
397 31346.71 3
17169 31425.03 3
17162 31484.37 3
14959 31609.06 2
402 31666.0 2
403 31689.11 2
17163 31725.3 3
15848 31777.35 4
406 31805.35 4
14500 31880.32 4
15852 31927.53 4
409 31951.65 4
18047 32063.61 5
17841 32129.53 5
412 32223.5 5
413 32259.43 4
14764 32322.22 5
415 32359.05 5
416 32417.06 3
417 32472.9 3
15185 32531.85 3
16110 32574.09 3
420 32608.58 3
421 32644.17 3
16088 32666.31 3
423 32713.65 3
15364 32835.78 2
425 32926.26 2
15384 32975.11 3
427 33026.32 3
428 33092.78 3
429 33178.56 3
430 33203.66 3
431 33277.47 4
4727 33354.37 5
432 33425.2 5
15279 33478.23 5
16049 33521.82 4
435 33592.32 6
436 33652.4 6
437 33735.82 5
14647 33815.38 5
439 33858.07 5
440 33944.77 5
12754 34023.81 5
442 34125.76 5
443 34385.29 4
445 34583.73 4
446 34669.16 3
18122 34763.52 2
448 34824.81 0
1119 34989.67 0
1120 35045.09 0
1121 35103.04 0
3953 35148.38 0
3954 35182.9 0
8613 35406.42 0
     }
- - - - - -
21 {
386 31202.03 0
388 31299.07 0
389 31351.4 0
390 31377.9 0
391 31391.83 0
14956 31434.54 0
393 31497.18 0
394 31523.96 0
395 31547.75 0
396 31582.3 0
397 31633.44 1
17169 31687.7 1
17162 31729.22 1
14959 31783.01 1
402 31843.71 1
403 31891.61 1
17163 31922.61 1
15848 31969.75 1
406 31997.93 1
14500 32045.09 1
15852 32090.82 1
409 32127.89 1
18047 32208.6 1
17841 32280.5 1
412 32411.19 1
413 32437.56 1
14764 32483.48 1
415 32522.34 1
416 32569.37 1
417 32678.46 1
15185 32749.92 1
16110 32812.26 1
420 32864.65 1
421 32896.05 1
16088 32926.23 1
423 32955.58 1
15364 33103.86 1
425 33209.5 2
15384 33245.76 2
427 33313.83 2
428 33362.73 2
429 33427.83 3
430 33472.45 3
431 33519.66 3
4727 33635.09 4
432 33794.9 4
15279 33878.09 4
16049 33909.22 4
435 33961.67 4
436 34018.73 4
437 34111.4 4
14647 34217.76 7
439 34271.21 7
440 34416.25 5
12754 34467.79 5
442 34572.17 4
443 34770.4 4
445 34982.0 4
446 35120.97 4
18122 35231.72 3
448 35348.33 0
1119 35490.32 0
1120 35542.18 0
1121 35591.93 0
3953 35643.42 0
3954 35662.82 0
8613 35867.5 0
     }
- - - - - -
22 {
386 31530.54 0
388 31608.25 0
389 31638.25 0
390 31671.92 0
391 31701.61 1
14956 31759.69 1
393 31790.22 1
394 31826.58 1
395 31864.83 1
396 31906.18 1
397 31955.98 2
17169 32044.65 3
17162 32107.16 2
14959 32217.34 2
402 32255.06 2
403 32297.37 2
17163 32342.59 2
15848 32421.4 2
406 32460.34 3
14500 32509.97 4
15852 32560.2 4
409 32591.64 6
18047 32717.01 7
17841 32771.3 7
412 32837.17 7
413 32887.87 6
14764 32960.87 6
415 33001.21 6
416 33049.5 7
417 33097.66 7
15185 33121.59 7
16110 33157.79 6
420 33193.4 7
421 33235.59 7
16088 33254.71 7
423 33296.48 6
15364 33411.1 5
425 33521.98 5
15384 33552.53 5
427 33591.1 4
428 33662.16 5
429 33704.27 5
430 33734.71 5
431 33775.98 5
4727 33835.82 4
432 33926.79 4
