trip_id,stop_id,arr_t,dep_t,pax_load,ons,offs,denied,hold_time,skipped,replication
911318020,413,8:26:15,8:26:15,18,0,0,0,0,0,3
911318020,14764,8:26:42,8:26:50,15,0,3,0,0,0,3
911318020,415,8:27:24,8:27:24,15,0,0,0,0,0,3
911318020,416,8:28:31,8:28:42,13,3,5,0,0,0,3
911318020,417,8:29:34,8:29:34,13,0,0,0,0,0,3
911318020,15185,8:29:54,8:30:02,14,1,0,0,0,0,3
911318020,16110,8:30:35,8:30:35,14,0,0,0,0,0,3
911318020,420,8:31:35,8:31:46,15,3,2,0,0,0,3
911318020,421,8:32:07,8:32:07,15,0,0,0,0,0,3
911318020,16088,8:32:20,8:32:20,15,0,0,0,0,0,3
911318020,423,8:32:51,8:32:51,15,0,0,0,0,0,3
911318020,15364,8:34:11,8:34:20,12,1,4,0,0,0,3
911318020,425,8:35:18,8:35:25,11,0,1,0,0,0,3
911318020,15384,8:36:02,8:36:11,12,2,1,0,0,0,3
911318020,427,8:37:02,8:37:09,13,1,0,0,0,0,3
911318020,428,8:37:53,8:38:02,13,2,2,0,0,0,3
911318020,429,8:38:46,8:38:46,13,0,0,0,0,0,3
911318020,430,8:39:18,8:39:18,13,0,0,0,0,0,3
911318020,431,8:40:29,8:40:29,13,0,0,0,0,0,3
911318020,4727,8:41:45,8:41:52,12,0,1,0,0,0,3
911318020,432,8:43:45,8:43:45,12,0,0,0,0,0,3
911318020,15279,8:45:14,8:45:14,12,0,0,0,0,0,3
911318020,16049,8:45:30,8:46:20,12,0,0,0,50,0,3
911318020,435,8:47:09,8:47:18,14,2,0,0,0,0,3
911318020,436,8:47:45,8:47:54,16,2,0,0,0,0,3
911318020,437,8:48:44,8:48:51,17,1,0,0,0,0,3
911318020,14647,8:49:51,8:50:00,19,2,0,0,0,0,3
911318020,439,8:51:28,8:51:28,19,0,0,0,0,0,3
911318020,440,8:52:54,8:53:01,19,1,1,0,0,0,3
911318020,12754,8:53:32,8:53:32,19,0,0,0,0,0,3
911318020,442,8:55:12,8:55:19,20,1,0,0,0,0,3
911318020,443,8:57:36,8:57:51,21,5,4,0,0,0,3
911318020,445,9:00:33,9:00:54,16,0,5,0,0,0,3
911318020,446,9:03:14,9:03:28,12,0,4,0,0,0,3
911318020,18122,9:05:36,9:05:46,9,0,3,0,0,0,3
911318020,448,9:07:28,9:07:42,1,0,8,0,0,0,3
911318020,1119,9:10:55,9:10:55,1,0,0,0,0,0,3
911318020,1120,9:12:02,9:12:08,1,0,0,0,0,0,3
911318020,1121,9:12:50,9:12:56,1,0,0,0,0,0,3
911318020,3953,9:13:45,9:13:45,1,0,0,0,0,0,3
911318020,3954,9:14:24,9:14:24,1,0,0,0,0,0,3
911318020,8613,9:17:22,9:17:28,0,0,1,0,0,0,3
911953020,386,8:12:00,8:12:50,4,4,0,0,50,0,3
911953020,388,8:13:35,8:13:35,4,0,0,0,0,0,3
911953020,389,8:14:04,8:14:11,5,1,0,0,0,0,3
911953020,390,8:14:38,8:14:38,5,0,0,0,0,0,3
911953020,391,8:15:03,8:15:03,5,0,0,0,0,0,3
911953020,14956,8:15:48,8:15:59,7,3,1,0,0,0,3
911953020,393,8:16:18,8:16:24,6,0,1,0,0,0,3
911953020,394,8:16:44,8:16:51,7,1,0,0,0,0,3
911953020,395,8:17:00,8:17:07,8,1,0,0,0,0,3
911953020,396,8:17:31,8:17:31,8,0,0,0,0,0,3
911953020,397,8:18:03,8:18:12,7,2,3,0,0,0,3
911953020,17169,8:18:50,8:18:59,9,2,0,0,0,0,3
911953020,17162,8:19:48,8:19:48,9,0,0,0,0,0,3
911953020,14959,8:20:43,8:20:56,13,4,0,0,0,0,3
911953020,402,8:21:28,8:21:28,13,0,0,0,0,0,3
911953020,403,8:21:48,8:21:48,13,0,0,0,0,0,3
911953020,17163,8:22:22,8:22:28,12,0,1,0,0,0,3
911953020,15848,8:23:16,8:23:27,15,3,0,0,0,0,3
911953020,406,8:24:07,8:24:57,12,0,3,0,50,0,3
911953020,14500,8:25:54,8:25:54,12,0,0,0,0,0,3
911953020,15852,8:26:39,8:26:46,13,1,0,0,0,0,3
911953020,409,8:27:07,8:27:14,12,1,2,0,0,0,3
911953020,18047,8:28:33,8:28:33,12,0,0,0,0,0,3
911953020,17841,8:29:23,8:29:23,12,0,0,0,0,0,3
911953020,412,8:30:06,8:30:11,11,0,1,0,0,0,3
911953020,413,8:30:37,8:30:37,11,0,0,0,0,0,3
911953020,14764,8:31:30,8:31:37,9,0,2,0,0,0,3
911953020,415,8:32:04,8:32:12,10,1,0,0,0,0,3
911953020,416,8:32:49,8:32:56,8,1,3,0,0,0,3
911953020,417,8:33:38,8:33:45,9,1,0,0,0,0,3
911953020,15185,8:34:38,8:34:38,9,0,0,0,0,0,3
911953020,16110,8:35:16,8:35:21,8,0,1,0,0,0,3
911953020,420,8:36:45,8:37:00,12,4,0,0,0,0,3
911953020,421,8:37:18,8:37:29,12,0,0,0,10,0,3
911953020,16088,8:37:47,8:37:47,12,0,0,0,0,0,3
911953020,423,8:38:10,8:38:10,12,0,0,0,0,0,3
911953020,15364,8:41:56,8:42:04,12,1,1,0,0,0,3
911953020,425,8:43:05,8:43:15,13,2,1,0,0,0,3
911953020,15384,8:43:50,8:43:56,13,1,1,0,0,0,3
911953020,427,8:44:25,8:44:35,14,2,1,0,0,0,3
911953020,428,8:45:44,8:45:53,16,2,0,0,0,0,3
911953020,429,8:46:17,8:46:17,16,0,0,0,0,0,3
911953020,430,8:46:36,8:46:42,17,1,0,0,0,0,3
911953020,431,8:47:46,8:47:46,17,0,0,0,0,0,3
911953020,4727,8:48:41,8:48:48,18,1,0,0,0,0,3
911953020,432,8:50:21,8:50:28,19,1,0,0,0,0,3
911953020,15279,8:51:33,8:51:33,19,0,0,0,0,0,3
911953020,16049,8:52:06,8:52:14,21,2,0,0,0,0,3
911953020,435,8:52:54,8:53:13,28,7,0,0,0,0,3
911953020,436,8:53:48,8:54:04,33,5,0,0,0,0,3
911953020,437,8:55:13,8:55:23,35,2,0,0,0,0,3
