1 {
14959 30539.22 3
402 30588.2 3
403 30611.66 3
17163 30654.4 3
15848 30705.19 3
406 30750.57 3
14500 30800.45 3
15852 30855.56 3
409 30899.8 2
18047 30962.54 2
17841 31036.93 2
412 31095.36 2
413 31133.13 2
14764 31176.65 2
415 31221.24 2
416 31265.64 2
417 31312.54 2
15185 31343.6 2
16110 31407.23 2
420 31451.28 2
421 31476.85 2
16088 31499.86 2
423 31561.71 3
15364 31739.11 2
425 31867.83 2
15384 31914.15 4
427 31976.37 4
428 32027.85 4
429 32079.28 4
430 32118.67 4
431 32184.06 4
4727 32261.26 4
432 32347.87 4
15279 32446.54 4
16049 32474.84 4
435 32518.42 4
436 32553.3 4
437 32599.85 4
14647 32678.75 8
439 32768.07 9
440 32832.31 11
12754 32941.81 12
442 33056.86 10
443 33268.6 9
445 33458.47 7
446 33530.9 6
18122 33721.25 6
448 33851.36 1
1119 33984.0 1
1120 34033.23 1
1121 34073.25 0
3953 34146.24 0
3954 34179.25 0
8613 34319.54 0
     }
- - - - - -
18 {
386 30502.12 1
388 30640.67 2
389 30675.37 2
390 30707.92 3
391 30728.9 3
14956 30775.3 5
393 30806.93 5
394 30854.02 6
395 30896.8 7
396 30938.56 7
397 31007.17 7
17169 31098.25 7
17162 31145.41 9
14959 31259.79 13
402 31319.03 11
403 31354.02 11
17163 31391.68 12
15848 31458.33 12
406 31506.69 12
14500 31551.71 13
15852 31641.03 13
409 31687.03 10
18047 31802.57 10
17841 31921.26 12
412 31965.76 12
413 31987.72 12
14764 32062.02 15
415 32117.16 15
416 32172.78 13
417 32267.37 13
15185 32339.6 12
16110 32378.73 12
420 32438.85 15
421 32484.44 19
16088 32516.82 20
423 32540.46 20
15364 32680.86 25
425 32784.17 26
15384 32822.24 28
427 32890.03 36
428 32971.56 38
429 33001.71 38
430 33029.1 38
431 33083.53 38
4727 33183.87 35
432 33263.11 33
15279 33352.68 31
16049 33414.09 31
435 33485.39 40
436 33574.49 36
437 33637.8 29
14647 33736.1 29
439 33784.05 27
440 33875.02 27
12754 33948.17 27
442 34030.14 26
443 34237.33 25
445 34392.35 23
446 34496.87 14
18122 34696.74 13
448 34816.11 0
1119 34950.32 0
1120 35011.0 0
1121 35044.25 0
3953 35118.61 0
3954 35135.01 0
8613 35245.41 0
     }
- - - - - -
