version,tripno,blockno,patternid,route,veh_type,direction,timepointid,runid,schd_time,monday,tuesday,wednesday,thursday,friday,saturday,sunday
651,10141020,2767,16550,81,STANDARD,3.0,LawCic,F108,21660,1,1,1,1,1,0,0
651,10141020,2767,16550,81,STANDARD,3.0,LawPul,F108,22020,1,1,1,1,1,0,0
651,10141020,2767,16550,81,STANDARD,3.0,LawKim,F108,22380,1,1,1,1,1,0,0
651,10141020,2767,16550,81,STANDARD,3.0,LawWes,F108,22920,1,1,1,1,1,0,0
651,10141020,2767,16550,81,STANDARD,3.0,WilBwy,F108,23640,1,1,1,1,1,0,0
651,10141020,2767,16550,81,STANDARD,3.0,WilMd,F108,24030,1,1,1,1,1,0,0
651,41321020,2769,16551,81,STANDARD,4.0,WilMd,F109,21480,1,1,1,1,1,0,0
651,41321020,2769,16551,81,STANDARD,4.0,WilBwy,F109,21840,1,1,1,1,1,0,0
651,41321020,2769,16551,81,STANDARD,4.0,LawWes,F109,22380,1,1,1,1,1,0,0
651,41321020,2769,16551,81,STANDARD,4.0,LawKim,F109,22740,1,1,1,1,1,0,0
651,41321020,2769,16551,81,STANDARD,4.0,LawPul,F109,23040,1,1,1,1,1,0,0
651,41321020,2769,16551,81,STANDARD,4.0,LawCic,F109,23340,1,1,1,1,1,0,0
651,41321020,2769,16551,81,STANDARD,4.0,JpkBlu,F109,23520,1,1,1,1,1,0,0
651,182070,635,16550,81,STANDARD,3.0,JpkBlu,F105,21600,0,0,0,0,0,1,0
651,182070,635,16550,81,STANDARD,3.0,LawCic,F105,21780,0,0,0,0,0,1,0
651,182070,635,16550,81,STANDARD,3.0,LawPul,F105,22080,0,0,0,0,0,1,0
651,182070,635,16550,81,STANDARD,3.0,LawKim,F105,22380,0,0,0,0,0,1,0
651,182070,635,16550,81,STANDARD,3.0,LawWes,F105,22740,0,0,0,0,0,1,0
651,182070,635,16550,81,STANDARD,3.0,WilBwy,F105,23310,0,0,0,0,0,1,0
651,182070,635,16550,81,STANDARD,3.0,WilMd,F105,23670,0,0,0,0,0,1,0
651,22911070,594,16551,81,STANDARD,4.0,WilMd,F104,21900,0,0,0,0,0,1,0
651,22911070,594,16551,81,STANDARD,4.0,WilBwy,F104,22200,0,0,0,0,0,1,0
