boarding_stop,alighting_stop,arrival_time,times_denied,route_id,boarding_time,trip_id,alighting_time
3750,3760,27485.696474357446,0,81,27917.243908070162,4712020,28507.164841689853
3756,3760,28176.67779781543,0,81,28210.58607449242,4712020,28507.164841689853
3753,2363,27201.23836211282,0,81,27255.629005733226,4552020,28516.885979958282
3746,3750,27766.236149048345,0,81,28311.55398655918,4487020,28546.20796884008
3773,17038,25427.932175301907,0,81,25890.0,34233020,28561.220970511647
14582,17038,25599.809901333367,0,81,26102.017747413996,34233020,28561.220970511647
4947,17038,25918.735194113997,0,81,26656.381432906946,34233020,28561.220970511647
18352,17038,26455.081323227598,0,81,27322.25844107443,34233020,28561.220970511647
18107,17038,27302.81321328008,0,81,27706.00464288933,34233020,28561.220970511647
3808,17038,26822.25978959817,0,81,27791.230551158085,34233020,28561.220970511647
3808,17038,27479.34939128016,0,81,27791.230551158085,34233020,28561.220970511647
3808,17038,27655.339770050865,0,81,27791.230551158085,34233020,28561.220970511647
3809,17038,26895.158932756352,0,81,27859.49281950424,34233020,28561.220970511647
3810,17038,27684.152073185982,0,81,27933.34863971911,34233020,28561.220970511647
3805,3810,28067.214043436637,0,81,28280.7554692137,6934020,28577.30876192648
3774,14582,27839.446122722467,0,81,28292.362028255255,31303020,28646.134578451027
4945,3803,27213.546418350765,0,81,27465.300324845386,18412020,28649.19541861908
3746,3752,28344.651076355556,0,81,28361.01285887372,4487020,28702.295416099965
3726,3773,25644.065972399683,0,81,25951.540806213052,4552020,28717.18690559433
17249,3773,27018.61221993227,0,81,27524.016525028463,4552020,28717.18690559433
4941,14102,26143.750900186213,0,81,26429.07366450736,34233020,28724.14451628434
4941,14102,26426.737062446038,0,81,26429.07366450736,34233020,28724.14451628434
17038,14102,28554.090274017308,0,81,28561.220970511647,34233020,28724.14451628434
17604,3814,27181.35754627726,0,81,27440.558153359605,6934020,28734.495966091636
3810,3814,28431.12368111156,0,81,28577.30876192648,6934020,28734.495966091636
3809,3815,28473.744933296563,0,81,28477.554254224524,6934020,28793.646905619276
3810,3815,28232.700307744006,0,81,28577.30876192648,6934020,28793.646905619276
3739,17251,27633.433321303244,0,81,27672.706408316124,4487020,28828.963840809607
3811,3816,28635.249917135636,0,81,28641.12460249963,6934020,28836.505509271912
