,route_id,service_id,trip_id,direction_id,block_id,shape_id,direction,wheelchair_accessible,schd_trip_id
8897,20,62601,6260911870020,0,626055898602,62600954,West,1,911870020
8898,20,62601,6260911871020,1,626055898602,62600957,East,1,911871020
8899,20,62601,6260911872020,1,626055898602,62600959,East,1,911872020
8900,20,62601,6260911877020,0,626055898502,62600949,West,1,911877020
8901,20,62601,6260911878020,1,626055898502,62602063,East,1,911878020
8902,20,62601,6260911879020,0,626055898502,62604096,West,1,911879020
8903,20,62601,6260911880020,1,626055898502,62600957,East,1,911880020
8904,20,62601,6260911881020,0,626055898502,62600954,West,1,911881020
8905,20,62601,6260911882020,1,626055898502,62600957,East,1,911882020
8906,20,62601,6260911883020,0,626055898502,62600954,West,1,911883020
8907,20,62601,6260911884020,1,626055898502,62600957,East,1,911884020
8908,20,62601,6260911885020,0,626055898502,62600954,West,1,911885020
8909,20,62601,6260911886020,1,626055898502,62602063,East,1,911886020
8910,20,62601,6260911887020,0,626055898502,62604096,West,1,911887020
8911,20,62601,6260911888020,1,626055898502,62602063,East,1,911888020
8912,20,62601,6260911889020,0,626055898502,62604096,West,1,911889020
8913,20,62601,6260911892020,1,626055898502,62600956,East,1,911892020
8914,20,62601,6260911898030,1,626055898403,62600959,East,1,911898030
8915,20,62601,6260911899030,0,626055898403,62600947,West,1,911899030
8916,20,62601,6260911900030,1,626055898403,62602063,East,1,911900030
8917,20,62601,6260911901030,0,636055898403,62600954,West,1,911901030
8918,20,62601,6260911902030,0,626055898403,62604096,West,1,911902030
8919,20,62601,6260911903030,1,626055898403,62602063,East,1,911903030
8920,20,62601,6260911904030,0,626055898403,62604096,West,1,911904030
8921,20,62601,6260911905030,1,626055898403,62600957,East,1,911905030
8922,20,62601,6260911906030,0,626055898403,62600954,West,1,911906030
8923,20,62601,6260911907030,1,626055898403,62600957,East,1,911907030
8924,20,62601,6260911908030,1,636055898403,62600957,East,1,911908030
8925,20,62601,6260911909030,1,636055898403,62600956,East,1,911909030
8926,20,62601,6260911910030,0,636055898403,62600954,West,1,911910030
8927,20,62601,6260911911030,1,636055898403,62602063,East,1,911911030
8928,20,62601,6260911912030,0,636055898403,62604096,West,1,911912030
8929,20,62601,6260911930020,0,626055887902,62604096,West,1,911930020
8930,20,62601,6260911931020,1,626055887902,62600957,East,1,911931020
8931,20,62601,6260911933020,1,626055887902,62602063,East,1,911933020
8932,20,62601,6260911934020,0,626055887902,62600954,West,1,911934020
8933,20,62601,6260911935020,1,626055887902,62600957,East,1,911935020
8934,20,62601,6260911936020,0,626055887902,62600954,West,1,911936020
8935,20,62601,6260911937020,1,626055887902,62602063,East,1,911937020
8936,20,62601,6260911938020,0,626055887902,62604096,West,1,911938020
8937,20,62601,6260911939020,1,626055887902,62602063,East,1,911939020
8938,20,62601,6260911940020,0,626055887902,62604096,West,1,911940020
8939,20,62601,6260911941020,1,626055887902,62600956,East,1,911941020
8940,20,62601,6260911944020,0,626055898902,62600949,West,1,911944020
8941,20,62601,6260911945020,1,626055898902,62602063,East,1,911945020
8942,20,62601,6260911946020,0,626055898902,62604096,West,1,911946020
8943,20,62601,6260911947020,1,626055898902,62600956,East,1,911947020
8944,20,62601,6260911948020,1,626055896102,62600956,East,1,911948020
8945,20,62601,6260911951020,0,626055887802,62600949,West,1,911951020
8946,20,62601,6260911952020,0,626055887802,62600954,West,1,911952020
8947,20,62601,6260911953020,1,626055887802,62602063,East,1,911953020
